City_ID,City,Country,Max Temp,Weather,Lat,Lng,Hotel Name
0,Atuona,PF,80.49,overcast clouds,-9.8,-139.0333,Villa Enata
4,Alta Floresta,BR,82.4,scattered clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
9,Saint-Philippe,RE,78.8,few clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
27,Avarua,CK,82.4,broken clouds,-21.2078,-159.775,Paradise Inn
28,Lorengau,PG,81.07,moderate rain,-2.0226,147.2712,Lorengau Harbourside Hotel
31,Kerema,PG,77.76,overcast clouds,-7.9631,145.7785,Frena Lodge
33,Malbug,PH,80.6,broken clouds,9.7327,123.3402,D Alegre Traveller's Inn
36,Hojai,IN,77.05,few clouds,26.0,92.8667,Luxury park hotel
37,Cidreira,BR,76.14,scattered clouds,-30.1811,-50.2056,Hotel Castelo
40,Georgetown,MY,80.01,few clouds,5.4112,100.3354,Cititel Penang
44,Mar Del Plata,AR,77.0,scattered clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
46,Pontes E Lacerda,BR,85.78,broken clouds,-15.2261,-59.3353,Hotel Bressan
51,Kavaratti,IN,83.86,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
55,Najran,SA,80.6,clear sky,17.4924,44.1277,محمد هادي ال فطيح
59,Barra Patuca,HN,84.99,clear sky,15.8,-84.2833,
60,Pisco,PE,77.0,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
64,Catamarca,AR,84.99,few clouds,-28.4696,-65.7852,Amerian Catamarca Park Hotel
65,San Patricio,US,80.01,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
66,Mahebourg,MU,77.0,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
67,Bambous Virieux,MU,78.01,few clouds,-20.3428,57.7575,Casa Tia Villa
68,Pilar,BR,84.2,broken clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
69,Saldanha,ZA,84.2,few clouds,-33.0117,17.9442,Blue Bay Lodge
70,Pauini,BR,81.19,light rain,-7.7136,-66.9764,Casa do Kiwliks
71,Tacuarembo,UY,83.61,few clouds,-31.7333,-55.9833,Complejo San Fructuoso
76,Puerto Escondido,MX,87.8,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
83,Tautira,PF,84.2,light rain,-17.7333,-149.15,Pension Oaoa
85,Karratha,AU,82.08,clear sky,-20.7377,116.8463,ibis Styles Karratha
86,Arraial Do Cabo,BR,89.6,clear sky,-22.9661,-42.0278,Pousada Porto Praia
89,Dwarka,IN,78.94,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
90,Makakilo City,US,75.2,moderate rain,21.3469,-158.0858,Marriott's Ko Olina Beach Club
91,Touros,BR,86.0,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
93,Rikitea,PF,79.05,clear sky,-23.1203,-134.9692,Pension Maro'i
94,Pochutla,MX,90.0,clear sky,15.7432,-96.4661,Hotel Posada San Jose
106,Puerto Ayora,EC,82.99,light rain,-0.7393,-90.3518,Finch Bay Galapagos Hotel
107,Bathsheba,BB,84.2,scattered clouds,13.2167,-59.5167,Atlantis Hotel
108,Bouca,CF,79.16,scattered clouds,6.5105,18.2733,
115,Sao Jose Da Coroa Grande,BR,82.27,light rain,-8.8978,-35.1478,Crôa Mares Hotel
119,Ixtapa,MX,75.2,few clouds,20.7,-105.2,Hotel Plaza Providencia
