City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather
0,Atuona,PF,-9.8,-139.0333,80.49,71,100,19.24,overcast clouds
1,Barrow,US,71.2906,-156.7887,-11.2,70,1,11.5,clear sky
2,Cape Town,ZA,-33.9258,18.4232,73.99,73,0,10.36,clear sky
3,Albany,US,42.6001,-73.9662,53.01,74,100,8.03,light rain
4,Alta Floresta,BR,-9.8756,-56.0861,82.4,78,40,9.22,scattered clouds
5,Rovaniemi,FI,66.5,25.7167,35.6,80,0,13.8,clear sky
6,Tuktoyaktuk,CA,69.4541,-133.0374,-7.6,77,40,6.91,scattered clouds
7,Bredasdorp,ZA,-34.5322,20.0403,66.2,82,47,11.5,scattered clouds
8,Hilo,US,19.7297,-155.09,73.4,78,75,8.05,broken clouds
9,Saint-Philippe,RE,-21.3585,55.7679,78.8,83,20,4.61,few clouds
10,Half Moon Bay,US,37.4636,-122.4286,66.2,62,1,12.66,haze
11,Punta Arenas,CL,-53.15,-70.9167,50.0,57,40,32.21,scattered clouds
12,Hobart,AU,-42.8794,147.3294,62.01,94,90,6.91,light rain
13,Severo-Yeniseyskiy,RU,60.3725,93.0408,23.49,95,100,4.52,light snow
14,Pevek,RU,69.7008,170.3133,-17.7,96,100,8.63,overcast clouds
15,Asau,RO,46.4333,26.4,33.01,59,99,10.74,light snow
16,Saint George,US,37.1041,-113.5841,51.8,30,1,4.61,clear sky
17,Mount Gambier,AU,-37.8333,140.7667,57.2,88,75,9.22,broken clouds
18,Mataura,NZ,-46.1927,168.8643,45.0,95,53,2.59,broken clouds
19,Anadyr,RU,64.75,177.4833,6.8,85,0,11.18,clear sky
20,Kjopsvik,NO,68.097,16.3742,39.99,75,100,34.52,light rain
21,Kirkuk,IQ,35.4681,44.3922,59.31,58,53,9.75,broken clouds
22,Vila Franca Do Campo,PT,37.7167,-25.4333,57.2,72,40,16.11,scattered clouds
23,Kapaa,US,22.0752,-159.319,69.8,78,20,8.05,few clouds
24,Yellowknife,CA,62.456,-114.3525,1.0,55,1,4.61,clear sky
25,Bandiagara,ML,14.3501,-3.6104,100.4,8,0,13.8,clear sky
26,Ushuaia,AR,-54.8,-68.3,42.8,81,75,36.82,light rain
27,Avarua,CK,-21.2078,-159.775,82.4,83,75,12.66,broken clouds
28,Lorengau,PG,-2.0226,147.2712,81.07,78,100,6.85,moderate rain
